stock_code,stock_name,board,market,industry,concepts,first_seen,last_seen,data_source
600557,康缘药业,沪主板,SH,中药Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600558,大西洋,沪主板,SH,通用设备,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600559,老白干酒,沪主板,SH,白酒Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600560,金自天正,沪主板,SH,专用设备,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600561,江西长运,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600562,国睿科技,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600563,法拉电子,沪主板,SH,元件,科技,2026-06-15 17:44:03,2026-06-17 10:05:32,eastmoney_push2_snapshot
600566,济川药业,沪主板,SH,中药Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600567,山鹰国际,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600569,安阳钢铁,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600570,恒生电子,沪主板,SH,软件开发,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600571,信雅达,沪主板,SH,IT服务Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600572,康恩贝,沪主板,SH,中药Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600573,惠泉啤酒,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600575,淮河能源,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600576,祥源文旅,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600577,精达股份,沪主板,SH,电网设备,电力,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600578,京能电力,沪主板,SH,电力,电力,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600579,中化装备,沪主板,SH,,,2026-06-15 23:42:33,2026-06-17 10:03:46,existing_latest_market_data
600580,卧龙电驱,沪主板,SH,电机Ⅱ,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600582,天地科技,沪主板,SH,专用设备,科技,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600583,海油工程,沪主板,SH,油服工程,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600584,长电科技,沪主板,SH,半导体,科技;半导体,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
600585,海螺水泥,沪主板,SH,水泥,,2026-06-15 23:42:33,2026-06-17 10:05:32,eastmoney_push2_snapshot
